Geneid,cond1,cond2,logFC,FDR
RNA33_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 1d ATc,-2.073,0.0155
RNA33_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-4.181,1.33e-7
RNA33,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-2.185,4.27e-4
RNA35,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.954,0.00633
SSUF_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.888,0.00633
RNA34,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.868,0.00633
RNA23t_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.866,0.00633
RNA7,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.849,0.0081
RNA10_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.844,0.00633
RNA39,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.812,0.0081
RNA43,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.784,0.00633
RNA11_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.76,0.00878
LSUB,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.745,0.0142
RNA11,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.686,0.0112
RNA33_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.685,0.00633
SSUE_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.61,0.0112
RNA14,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.595,0.013
RNA16,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.588,0.0178
RNA29,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.581,0.0142
LSUC,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.493,0.0178
RNA13,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.434,0.0292
RNA31_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.4,0.0202
RNA18,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.394,0.0328
RNA19,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.319,0.0481
RNA3,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.293,0.0488
RNA31,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.254,0.0481
SSUE_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.249,0.0481
RNA30,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.226,0.0488
SSUD,rmRSiC-FLAG -ATc,rmRSiC-FLAG 2d ATc,-1.194,0.0481
RNA33_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-5.392,5.8e-10
RNA35,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-3.132,9.17e-6
RNA31_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.995,8.77e-6
RNA39,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.988,2.12e-5
RNA16,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.882,4.47e-5
RNA34,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.753,4.16e-5
RNA33,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.694,8.91e-6
RNA19,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.648,1.83e-4
LSUB,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.63,2.92e-4
RNA23t_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.433,2.26e-4
RNA18,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.286,5.64e-4
RNA29,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.245,5.09e-4
RNA14,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.118,8.04e-4
RNA17,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.115,0.00113
SSUA,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.106,0.00117
RNA11,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.093,0.00117
RNA3,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-2.008,0.00218
RNA7,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.964,0.00235
LSUC,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.962,0.00141
RNA30,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.911,0.00218
RNA10_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.878,0.00235
RNA43,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.8,0.00141
SSUD,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.762,0.00276
RNA8,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.738,0.00345
SSUF_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.734,0.00305
LSUA,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.727,0.00385
LSUFG,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.689,0.00385
RNA13,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.689,0.00567
SSUE,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.678,0.00385
RNA15_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.667,0.00385
RNA15,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.634,0.00533
RNA33_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.63,0.00323
RNA11_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.601,0.00737
SSUF_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.508,0.00964
RNA23t_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.498,0.00704
SSUE_1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.497,0.00852
RNA1,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.482,0.00942
RNA6,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.42,0.00964
SSUE_2,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.414,0.0139
RNA31,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.215,0.0372
RNA9,rmRSiC-FLAG -ATc,rmRSiC-FLAG 3d ATc,-1.172,0.0388
