# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "--fracOverlapFeature" "0.8" "--largestOverlap" "-o" "out/counts/mito/shortFeatures/sense/11_mito_featureCounts.txt" "out/filtered/11_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/11_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	23958
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	4276
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	21608
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	1473
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	2767612
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	816311
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	33407
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	33
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	59
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	35
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	3080
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	173291
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	28821
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	29
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	15989
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	1734361
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	98882
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2047262
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	13990
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	301362
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1390737
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	25532
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	10169
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	36909
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	45
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	6210
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	60396
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	913697
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	393154
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	46607
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	9170
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	53896
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	74222
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	1090659
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	12246
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	58840
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	56673
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	1122023
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	8
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	274
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	1341
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	78	+	24	6760
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	1873
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	17308
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	666637
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	596035
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	29545
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	384898
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	323
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	55403
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	948586
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	8053
SSUE_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	2577
SSUE_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	835
SSUE_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1062	-	19	5059
SSUD	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1109	1180	+	72	603644
RNA42	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	3033	3058	-	26	4544
