# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.85" "-o" "out/counts/par2_mito_featureCounts.txt" "out/filtered/par2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/par2_mito_filtered.bam
RNA3.rRNA	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	19355.50
RNA39.rRNA	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	2901.50
RNA31-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	4720.50
RNA31-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5098.50
RNA6.rRNA	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4786088.00
RNA34-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	269531.50
RNA34-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	302554.50
RNA37/38-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	21.50
RNA37.rRNA	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	87.08
RNA38.rRNA	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	64.08
RNA32.rRNA	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	335.25
RNA33.rRNA	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	9786.58
RNA43.rRNA	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	695.33
RNA7.rRNA	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	132507.17
RNA9.rRNA	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	5936.00
RNA41.rRNA	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	5
SSUF-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	756070.16
SSUF-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	4177841.66
RNA1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	192185.16
RNA17.rRNA	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2232690
SSUB.rRNA	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	32801.50
RNA29.rRNA	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	295393.49
RNA5-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1239780.24
RNA5-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1265952.82
RNA10-F.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	2804.55
RNA10-1.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	16334.63
RNA10-2.rRNA	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	60810.63
RNA36.rRNA	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	581
RNA19.rRNA	molecule2_JEATVDKpUB*	74	107	+	34	65268
LSUB.rRNA	molecule2_JEATVDKpUB*	1210	1235	-	26	629590
RNA30.rRNA	molecule2_JEATVDKpUB*	1418	1448	+	31	739305.67
RNA35.rRNA	molecule2_JEATVDKpUB*	1451	1468	+	18	21060.17
RNA2.rRNA	molecule2_JEATVDKpUB*	1487	1538	+	52	471.17
RNA13.rRNA	molecule2_JEATVDKpUB*	1573	1606	-	34	75458.00
RNA15-F.rRNA	molecule2_JEATVDKpUB*	1606	1634	-	29	139747.00
RNA15-1.rRNA	molecule2_JEATVDKpUB*	1612	1632	-	21	4274805.00
LSUA.rRNA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA.rRNA	molecule2_JEATVDKpUB*	1799	1911	+	113	16689.50
RNA23t-F.rRNA	molecule2_JEATVDKpUB*	1909	1970	+	62	11790.65
RNA23t-1.rRNA	molecule2_JEATVDKpUB*	1913	1940	+	28	98483.15
RNA23t-2.rRNA	molecule2_JEATVDKpUB*	1920	1963	+	44	3887915.15
RNA32-1.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	176.25
RNA32-F.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	126.50
RNA33-F.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	57.08
RNA33-1.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	108.08
RNA33-2.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	608.08
LSUC.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	4519.50
RNA14.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	1154290.50
LSUDE.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11-F.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	229894.83
RNA11-1.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	255907.83
RNA16.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	198888.33
RNA40.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	60
RNA18.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	240649
RNA8.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	1078253
RNA28.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	2819.50
SSUE-F.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1044	1092	-	49	1569.99
SSUE-1.rRNA	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	1062	1092	-	31	1866.99
