# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/pr2-3_mito_featureCounts.txt" "out/filtered/pr2-3_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/pr2-3_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	7742.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	935.83
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	2728.33
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	3027.33
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4204419.50
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	1874.50
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	213064.00
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.25
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	114.17
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	16.67
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	191.33
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	593.92
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	293.17
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	33534.50
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	4220.83
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	11
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	227158.16
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	2353075.66
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	183008.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	1409897
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	13333
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	114853.49
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1935048.49
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1963137.24
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1366.56
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	5321.06
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	15096.06
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	735
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	43162
LSUB	molecule2_JEATVDKpUB*	1210	1235	-	26	242451
RNA30	molecule2_JEATVDKpUB*	1418	1448	+	31	385035.33
RNA35	molecule2_JEATVDKpUB*	1451	1468	+	18	7339.33
RNA2	molecule2_JEATVDKpUB*	1487	1538	+	52	228.33
RNA13	molecule2_JEATVDKpUB*	1573	1606	-	34	15496.67
RNA15_F	molecule2_JEATVDKpUB*	1606	1634	-	29	61926.67
RNA15_1	molecule2_JEATVDKpUB*	1612	1632	-	21	2244648.67
LSUA	molecule2_JEATVDKpUB*	1634	1810	+	177	0
SSUA	molecule2_JEATVDKpUB*	1799	1911	+	113	10067
RNA23t_F	molecule2_JEATVDKpUB*	1909	1970	+	62	24750.62
RNA23t_1	molecule2_JEATVDKpUB*	1913	1940	+	28	46848.12
RNA23t_2	molecule2_JEATVDKpUB*	1920	1963	+	44	3461586.12
RNA32_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	41	52	+	12	101.55
RNA32_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	19	52	+	34	36.30
RNA33_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	125	+	71	16.38
RNA33_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	55	87	+	33	28.88
RNA33_2	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	103	125	+	23	236.88
LSUC	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	175	195	-	21	2649.50
RNA14	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	196	231	-	36	387670.50
LSUDE	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	234	515	-	282	0
RNA11_F	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	574	-	58	72794.00
RNA11_1	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	517	556	-	40	80686.50
RNA16	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	575	599	-	25	89923.50
RNA40	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	772	809	-	38	70
RNA18	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	850	880	+	31	118130
RNA8	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	869	975	-	107	678196
RNA28	molecule3_PHQJ*OFFpM*B*J*L*VSCQJ*	999	1040	-	42	4862.75
