# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "references/pseudo_genome/RNA_index_rebuild.gtf" "-t" "rRNA" "-g" "rRNA_id" "-s" "1" "-M" "-O" "--fraction" "--fracOverlapFeature" "0.9" "-o" "out/counts/2_mito_featureCounts.txt" "out/filtered/2_mito_filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	out/filtered/2_mito_filtered.bam
RNA3	molecule1_SR*Fp*NAPIKpKO*	184	274	+	91	11196.50
RNA39	molecule1_SR*Fp*NAPIKpKO*	275	292	+	18	5452.17
RNA31_F	molecule1_SR*Fp*NAPIKpKO*	362	426	+	65	3220.17
RNA31_1	molecule1_SR*Fp*NAPIKpKO*	388	426	+	39	5830.17
RNA6	molecule1_SR*Fp*NAPIKpKO*	438	496	-	59	4619090.33
RNA34_F	molecule1_SR*Fp*NAPIKpKO*	489	560	-	72	3365.33
RNA34_1	molecule1_SR*Fp*NAPIKpKO*	506	560	-	55	441979.33
RNA37/38_F	molecule1_SR*Fp*NAPIKpKO*	683	795	+	113	0.75
RNA37	molecule1_SR*Fp*NAPIKpKO*	712	795	+	84	152.67
RNA38	molecule1_SR*Fp*NAPIKpKO*	698	795	+	98	15.67
RNA32	molecule1_SR*Fp*NAPIKpKO*	763	795	+	33	897.50
RNA33	molecule1_SR*Fp*NAPIKpKO*	798	820	+	23	3905.25
RNA43	molecule1_SR*Fp*NAPIKpKO*	846	868	+	23	1398.50
RNA7	molecule1_SR*Fp*NAPIKpKO*	869	948	+	80	65837.17
RNA9	molecule1_SR*Fp*NAPIKpKO*	950	1024	+	75	6996.33
RNA41	molecule1_SR*Fp*NAPIKpKO*	958	986	-	29	19
SSUF_1	molecule1_SR*Fp*NAPIKpKO*	1051	1080	+	30	361147.66
SSUF_2	molecule1_SR*Fp*NAPIKpKO*	1026	1058	+	33	3349590.16
RNA1	molecule1_SR*Fp*NAPIKpKO*	1084	1180	+	97	287917.33
RNA17	molecule1_SR*Fp*NAPIKpKO*	1236	1276	-	41	2780325
SSUB	molecule1_SR*Fp*NAPIKpKO*	1281	1402	-	122	14717
RNA29	molecule1_SR*Fp*NAPIKpKO*	1403	1447	-	45	172966.49
RNA5_F	molecule1_SR*Fp*NAPIKpKO*	1449	1531	-	83	1761466.24
RNA5_1	molecule1_SR*Fp*NAPIKpKO*	1492	1531	-	40	1846517.41
RNA10_F	molecule1_SR*Fp*NAPIKpKO*	1531	1617	-	87	1925.64
RNA10_1	molecule1_SR*Fp*NAPIKpKO*	1531	1565	-	35	4686.06
RNA10_2	molecule1_SR*Fp*NAPIKpKO*	1531	1561	-	31	18990.06
RNA36	molecule1_SR*Fp*NAPIKpKO*	1588	1619	+	32	3827
RNA19	molecule2_JEATVDKpUB*	74	107	+	34	153439
